type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-84,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,103102,0,157,0,0,0.493068,128,[-99 -48 9 0 0 0 0 0 0 0 0 0 -7 13 -3 10 -9 8 -6 4 -7 4 -3 4 -12 7 -11 0 -11 1 -10 5 -14 6 -17 6 -10 3 -13 2 -17 11 -10 2 -14 1 -11 0 -15 -3 -15 -2 -16 -2 -10 7 -5 3 -18 2 -13 5 -7 6 0 0 -18 6 -21 5 -15 8 -17 6 -16 2 -13 1 -19 8 -12 0 -18 5 -22 -7 -23 -3 -20 -3 -19 9 -16 3 -20 3 -19 4 -21 0 -17 4 -18 -1 -18 6 -19 0 -24 6 -23 1 -22 3 -24 3 -16 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-83,11,1,1,1,1,1,0,0,0,0,-98,0,6,1,151382,0,135,0,0,0.540812,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -14 6 -13 10 -11 8 -18 9 -21 9 -20 8 -22 5 -19 6 -17 4 -20 6 -19 3 -21 5 -18 9 -21 6 -19 5 -17 1 -16 1 -17 1 -19 -2 -13 3 -17 4 -18 2 -20 -2 -14 3 -22 -3 -16 6 0 0 -20 0 -16 4 -20 2 -20 -2 -19 9 -17 1 -12 2 -19 -2 -18 -1 -19 1 -21 3 -19 2 -15 0 -20 1 -17 -2 -17 -1 -15 0 -18 0 -21 -2 -18 4 -15 1 -15 0 -19 2 -15 1 -18 -2 -16 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-81,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,332652,0,390,0,0,0.72247,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -7 20 -8 21 -15 19 -13 22 -10 27 -12 20 -16 20 -10 23 -17 19 -12 14 -12 20 -5 19 -17 12 -7 17 -11 9 -16 19 -13 17 -7 16 -8 14 -7 17 -15 14 -2 12 -12 15 -13 16 -4 23 -5 13 0 0 -1 18 -5 22 -13 16 -6 22 -5 20 -5 19 4 15 -8 15 -2 13 -3 18 -6 17 -5 19 -1 21 -13 19 -8 6 1 19 0 15 -2 15 -4 11 5 20 -1 17 6 20 -1 15 0 16 6 8 3 17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-80,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,382340,0,390,0,0,0.77188,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 21 -2 18 3 21 3 23 3 18 4 18 5 14 3 17 4 15 5 15 6 15 4 14 3 16 8 14 5 15 1 15 8 16 3 15 4 13 3 12 -2 12 0 10 1 10 -1 8 3 13 5 12 5 0 0 11 1 12 3 7 0 10 0 8 1 11 1 9 -2 10 -1 8 -2 8 -2 9 -2 10 -1 9 -2 10 -4 6 -1 13 0 11 -2 9 -6 8 -6 8 -4 10 -3 10 -3 7 -5 7 -5 8 -5 9 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-81,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,425761,0,82,0,0,0.814923,128,[82 -96 4 0 0 0 0 0 0 0 0 0 -20 -11 -23 -13 -23 -10 -27 -12 -18 -15 -18 -14 -21 -13 -17 -13 -18 -16 -15 -13 -13 -23 -17 -17 -17 -13 -15 -13 -12 -6 -19 -15 -16 -13 -12 -15 -15 -10 -11 -8 -12 -10 -15 -8 -14 -15 -20 -9 -19 -11 -13 -12 0 0 -16 -4 -18 -10 -17 -8 -21 -7 -18 -8 -20 -7 -18 -7 -19 -12 -19 -5 -18 -10 -22 -7 -17 -8 -20 -7 -18 -9 -17 -8 -18 -8 -22 -5 -18 -5 -18 -3 -13 -8 -20 -2 -21 -1 -16 -4 -19 -3 -14 -4 -19 -3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-81,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,824335,0,82,0,0,1.21384,128,[82 -96 4 0 0 0 0 0 0 0 0 0 29 -4 31 -1 29 0 30 -4 28 0 25 1 27 2 27 3 25 2 26 -2 30 4 31 5 26 6 18 4 26 10 23 2 25 6 21 10 23 6 19 2 22 6 19 2 16 2 23 3 21 0 18 3 0 0 17 8 21 3 22 1 14 -3 14 -3 17 -3 14 0 14 -4 14 0 15 -5 16 0 13 -3 15 -4 15 -5 11 -2 15 -4 12 -5 17 -3 13 -6 12 -8 13 -3 10 -3 12 -6 10 -9 10 -9 18 -6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-85,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,2479093,0,157,0,0,2.8687,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -16 -4 -15 0 -15 -2 -10 -9 -16 1 -16 -4 -16 -4 -15 -8 -12 2 -12 -5 -16 -3 -14 -1 -16 -3 -14 -3 -15 -8 -12 -5 -11 -8 -14 -5 -13 -9 -10 -4 -12 -5 -13 -9 -14 -4 -14 -4 -17 -2 -12 -1 0 0 -13 -2 -16 -11 -14 -9 -12 -9 -11 -8 -14 -5 -15 -2 -14 -5 -12 -2 -17 -3 -16 -8 -14 -4 -15 -5 -17 -7 -17 -4 -16 -4 -14 -5 -20 -2 -17 -2 -15 -5 -20 -4 -15 -6 -16 -7 -16 -8 -18 -7 -19 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-84,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,2525927,0,135,0,0,2.91534,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -14 3 -15 1 -10 -1 -15 1 -9 2 -15 3 -11 -5 -12 0 -14 -3 -14 1 -15 2 -14 -1 -15 -6 -11 0 -12 3 -10 1 -12 2 -9 -1 -9 5 -12 -1 -14 -1 -11 2 -10 2 -12 1 -9 7 -15 3 0 0 -9 3 -11 7 -10 7 -14 4 -10 9 -11 5 -15 6 -12 8 -10 8 -16 3 -9 6 -6 5 -11 7 -11 8 -10 9 -11 8 -12 8 -12 13 -15 10 -10 6 -13 12 -14 11 -18 10 -14 11 -11 9 -12 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-89,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,2695692,0,390,0,0,3.0851,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -1 13 -1 10 2 9 -3 9 -1 8 -5 13 0 12 0 12 -2 7 -2 12 -1 11 -3 14 -5 7 3 7 -4 10 1 10 -3 6 0 14 -3 7 1 10 -3 10 0 7 -3 10 4 13 0 11 2 9 0 0 1 8 -1 5 6 10 0 11 3 7 -1 10 -3 8 1 9 6 9 6 14 6 11 2 12 0 8 3 10 7 16 1 9 6 11 5 11 4 10 8 10 9 12 6 12 6 15 10 11 5 15 6 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-86,11,1,1,1,1,1,0,0,0,0,-95,0,6,1,2711534,0,390,0,0,3.11247,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -9 3 -12 6 -14 6 -8 4 -8 3 -10 1 -8 3 -11 -3 -11 2 -13 3 -12 0 -11 2 -12 0 -14 0 -6 -1 -9 3 -10 1 -10 -1 -9 0 -11 4 -8 0 -9 -2 -11 -3 -10 3 -9 4 -9 0 0 0 -10 3 -7 3 -11 5 -10 4 -13 0 -11 4 -12 2 -11 4 -12 8 -14 6 -12 8 -13 3 -15 4 -9 6 -12 1 -11 4 -16 3 -15 3 -13 5 -16 10 -16 3 -13 7 -12 7 -17 4 -15 6 -14 7 0 0 0 0 0 0 0 0 0 0 ]
