type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,6554039,0,157,0,0,6.94336,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 19 21 21 23 20 22 17 21 19 23 16 20 16 24 14 20 12 23 12 22 13 21 11 21 11 19 12 18 10 18 11 20 7 16 9 17 8 13 8 13 6 10 8 12 10 10 5 11 7 10 7 9 0 0 4 9 8 8 9 8 6 7 7 6 7 5 6 5 8 2 6 4 6 3 5 2 5 2 4 -1 6 0 3 0 4 -1 5 -4 6 -4 3 -3 5 -4 4 -6 4 -5 3 -7 4 -7 2 -8 3 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-75,11,1,2,1,1,1,0,0,0,0,-97,0,6,1,6596008,0,135,0,0,6.98497,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -8 28 -7 27 -9 28 -10 29 -8 26 -11 27 -11 25 -10 25 -9 24 -9 22 -9 23 -10 21 -10 21 -9 20 -9 19 -9 17 -8 17 -6 17 -6 17 -6 14 -6 15 -5 14 -4 13 -5 12 -5 12 -1 13 0 0 -3 10 -1 10 -2 9 0 10 0 6 0 7 -1 6 -1 4 0 6 1 3 1 5 2 4 4 3 2 1 0 0 2 0 3 -1 4 0 4 -1 4 -1 3 -3 3 -3 4 -6 2 -5 4 -6 4 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,6785618,0,390,0,0,7.1745,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 27 13 24 14 25 13 23 16 22 15 23 13 21 14 22 13 21 15 19 14 20 14 17 13 18 14 17 14 18 15 14 13 16 13 15 12 16 13 15 10 13 11 13 9 12 9 10 8 13 9 10 6 0 0 11 7 9 5 10 4 9 4 10 5 9 2 7 2 8 2 7 1 7 1 6 2 7 1 5 -1 6 -2 4 -3 3 -3 3 -2 2 -3 3 -4 0 -5 -1 -5 1 -4 0 -6 1 -5 -1 -5 -3 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-74,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,6835500,0,390,0,0,7.22414,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -9 -30 -9 -31 -8 -31 -8 -33 -7 -31 -4 -30 -5 -30 -3 -27 -3 -29 -3 -26 -3 -30 -4 -27 -1 -26 -3 -25 -4 -24 -3 -24 -3 -23 -2 -22 -3 -20 -3 -21 -1 -19 -2 -18 -2 -18 -4 -17 -4 -16 -4 -19 0 0 -4 -15 -6 -15 -6 -15 -5 -13 -6 -13 -7 -13 -5 -11 -7 -11 -6 -10 -6 -8 -6 -9 -7 -7 -7 -7 -6 -7 -6 -7 -7 -5 -7 -6 -6 -5 -7 -4 -8 -3 -7 -2 -7 -1 -5 -3 -6 -2 -6 0 -7 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,6892770,0,82,0,0,7.2814,384,[82 -96 4 0 0 0 0 0 0 0 0 0 9 -28 8 -29 9 -28 10 -29 12 -26 8 -26 9 -24 9 -23 9 -24 10 -24 10 -23 10 -24 9 -23 9 -21 8 -21 9 -18 9 -17 5 -16 5 -18 6 -17 6 -17 4 -14 5 -14 4 -14 2 -13 3 -13 0 0 1 -11 1 -12 1 -12 2 -9 1 -9 -2 -9 0 -7 -2 -9 -2 -6 -2 -7 -2 -4 -2 -3 -1 -5 -2 -3 -4 -3 -2 -1 -2 -1 -2 0 -2 1 -3 1 -2 1 -3 2 -2 3 -3 6 -3 6 -3 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-79,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,7288928,0,82,0,0,7.6776,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 22 9 24 9 24 8 23 7 22 5 21 8 22 8 21 6 22 6 20 7 21 4 21 6 18 4 19 3 18 4 18 2 17 2 14 2 15 4 13 3 13 2 14 2 12 4 12 4 11 3 9 0 0 4 6 5 9 5 7 5 6 5 6 7 6 4 3 5 4 4 4 3 2 6 3 5 1 5 -1 6 -1 5 -2 5 -4 4 -2 5 -4 5 -4 6 -4 3 -5 3 -6 3 -6 4 -8 3 -7 4 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-78,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,7293867,0,82,0,0,7.70323,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -27 0 -25 -1 -26 -2 -27 -2 -23 -3 -25 -3 -26 -3 -22 -5 -22 -5 -21 -6 -23 -3 -21 -2 -22 -7 -19 -4 -19 -5 -17 -5 -16 -4 -16 -2 -16 -4 -16 -4 -14 -4 -13 -1 -12 -1 -11 -1 -11 -2 -12 0 0 0 -12 -1 -9 2 -9 2 -8 2 -7 -1 -6 1 -7 3 -5 3 -5 2 -4 4 -3 2 -3 2 -3 4 0 4 -2 6 1 5 0 4 2 4 2 5 4 4 5 6 4 4 6 4 4 5 4 4 6 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,7783769,0,82,0,0,8.17244,384,[82 -96 4 0 0 0 0 0 0 0 0 0 20 -20 25 -19 24 -18 26 -18 24 -17 23 -16 25 -19 22 -16 21 -14 19 -15 21 -14 20 -14 20 -13 22 -13 20 -12 17 -12 16 -12 14 -11 15 -10 15 -10 12 -11 14 -10 10 -11 11 -11 10 -9 10 -10 0 0 10 -10 10 -9 7 -7 4 -10 7 -7 5 -8 4 -9 2 -7 0 -9 1 -8 1 -6 0 -6 -1 -6 -3 -6 -2 -6 -3 -7 -4 -5 -4 -5 -5 -2 -3 -4 -6 -5 -7 -3 -6 -3 -8 0 -8 -1 -7 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,8280786,0,82,0,0,8.66946,384,[82 -96 4 0 0 0 0 0 0 0 0 0 9 20 10 21 8 19 8 20 8 22 6 20 5 21 5 20 4 20 2 22 3 23 3 20 3 19 3 19 2 19 0 18 0 18 2 17 0 17 0 16 1 17 1 13 1 14 2 13 1 14 1 14 0 0 1 11 3 13 1 9 3 10 2 9 3 9 3 9 4 8 2 9 5 9 4 6 4 8 5 5 5 6 6 7 5 4 7 5 5 4 8 3 8 2 10 3 8 4 10 0 9 1 10 2 9 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,8517372,0,82,0,0,8.90605,384,[82 -96 4 0 0 0 0 0 0 0 0 0 14 19 14 22 15 20 12 23 12 22 13 22 12 22 11 21 8 22 8 22 10 19 7 22 8 20 9 20 7 19 6 19 7 19 6 19 5 18 8 19 6 18 6 17 5 15 8 15 6 16 8 14 0 0 7 14 6 14 8 16 5 9 7 8 5 10 5 10 6 10 5 12 6 6 6 8 6 6 4 8 6 3 6 4 5 3 6 4 5 1 6 2 5 1 4 0 7 1 4 -1 4 -1 4 -3 3 -3 0 0 0 0 0 0 0 0 0 0 ]
