type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,local_time,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848211,0,0,0,0,1721762848211,124,[-5 -19 -6 -19 -6 -19 -6 -19 -7 -19 -8 -18 -8 -18 -9 -18 -10 -18 -10 -18 -10 -19 -11 -18 -11 -18 -11 -19 -11 -19 -10 -19 -10 -19 -10 -19 -9 -19 -9 -19 -8 -19 -7 -19 -7 -20 -6 -20 -4 -20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -9 -2 -10 -1 -11 -1 -11 0 -12 0 -13 1 -13 2 -14 3 -14 3 -14 3 -14 3 -14 3 -13 2 -13 2 -13 1 -14 1 -14 0 -14 -1 -14 -2 -15 -3 -15 -3 -16 -4 -17 -4 -18 -5 -18 -5 -19]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848230,0,0,0,0,1721762848230,124,[15 13 10 16 13 10 15 9 16 9 16 9 17 8 17 8 17 8 17 7 19 7 19 6 19 6 19 7 19 7 20 7 19 7 19 8 19 8 18 8 18 8 17 9 17 9 17 13 10 16 11 15 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 5 7 6 7 6 7 7 7 8 7 9 7 13 10 6 11 6 11 6 11 6 12 6 11 6 11 6 11 6 11 7 13 10 7 13 10 8 9 13 10 9 13 10 9 11 9 12 9]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848250,0,0,0,0,1721762848250,124,[19 -5 19 -6 18 -6 18 -6 18 -7 18 -8 17 -8 17 -9 17 -10 17 -10 17 -11 18 -11 18 -11 18 -11 18 -11 18 -10 18 -10 18 -9 18 -9 18 -9 18 -8 18 -7 19 -7 19 -6 20 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -2 9 -2 13 10 -1 11 -1 11 0 12 0 12 1 13 1 13 2 13 3 13 3 13 2 13 2 13 2 13 1 12 1 12 0 13 0 14 -2 14 -3 15 -3 16 -4 16 -4 17 -5 18 -5 18]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848270,0,0,0,0,1721762848270,124,[-20 -3 -21 -3 -19 -2 -20 -1 -19 -1 -20 0 -19 0 -20 1 -20 1 -21 2 -21 2 -21 2 -22 3 -21 2 -22 2 -21 2 -22 1 -22 1 -21 1 -21 0 -21 -1 -20 -1 -21 -2 -20 -3 -21 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -2 -10 -3 -10 -3 -11 -4 -11 -4 -12 -6 -12 -6 -12 -7 -12 -7 -12 -7 -12 -8 -12 -8 -12 -7 -12 -7 -12 -7 -12 -6 -13 -6 -13 -5 -14 -4 -15 -4 -16 -3 -17 -3 -17 -3 -18 -3 -19 -2 -20 -3]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848290,0,0,0,0,1721762848290,124,[-11 17 -11 18 -10 17 -10 18 -9 18 -8 18 -8 18 -7 19 -7 19 -7 20 -7 20 -7 20 -7 21 -7 20 -7 22 -7 21 -8 21 -8 20 -8 19 -8 19 -9 18 -10 17 -11 18 -12 17 -14 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 7 -6 8 -7 8 -8 8 -9 8 -10 9 -10 9 -11 8 -11 8 -12 7 -13 8 -12 7 -12 7 -12 7 -11 8 -11 9 -11 9 -10 13 10 -10 11 -10 12 -10 13 -9 14 -10 14 -11 15 -11 17 -11]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848325,0,0,0,0,1721762848325,124,[-20 1 -21 1 -20 1 -20 2 -20 3 -20 3 -20 4 -20 4 -20 5 -20 6 -21 6 -21 6 -21 6 -21 6 -21 6 -21 6 -21 5 -21 5 -20 5 -21 4 -21 3 -21 3 -21 2 -21 1 -21 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -1 -10 -1 -11 -1 -11 -2 -12 -2 -12 -4 -13 -4 -13 -5 -13 -5 -13 -6 -13 -6 -13 -6 -13 -6 -13 -5 -13 -5 -13 -5 -14 -4 -14 -3 -15 -2 -15 -1 -17 -1 -18 0 -18 0 -19 0 -20 1 -20 0]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848330,0,0,0,0,1721762848330,124,[-20 1 -20 2 -20 2 -20 2 -20 4 -20 4 -19 4 -19 5 -20 6 -20 7 -20 7 -20 7 -21 6 -21 6 -21 7 -21 6 -21 6 -21 5 -21 5 -21 4 -21 4 -21 3 -22 2 -21 1 -21 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 0 -10 -1 -11 -1 -11 -1 -12 -2 -12 -3 -13 -4 -13 -4 -13 -5 -13 -5 -13 -6 -13 -5 -13 -5 -13 -5 -13 -4 -13 -4 -14 -3 -14 -3 -15 -2 -15 -1 -16 0 -17 0 -17 0 -19 1 -20 2 -20 1]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848350,0,0,0,0,1721762848350,124,[-2 -23 -2 -24 -3 -23 -3 -24 -5 -23 -5 -23 -6 -23 -7 -23 -7 -23 -8 -24 -8 -24 -8 -24 -9 -25 -8 -24 -9 -25 -8 -24 -7 -25 -7 -25 -7 -24 -6 -25 -5 -24 -4 -24 -3 -25 -1 -25 1 -25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -11 -1 -12 0 -12 1 -13 1 -13 2 -15 2 -15 4 -16 5 -16 5 -15 6 -15 5 -15 5 -15 5 -15 4 -15 3 -15 2 -16 2 -16 1 -17 0 -17 -1 -19 -1 -20 -1 -20 -1 -22 -2 -23 -2 -24]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848370,0,0,0,0,1721762848370,124,[4 -21 3 -20 3 -21 3 -21 2 -21 1 -21 1 -21 0 -21 0 -22 0 -22 -1 -22 -1 -22 -1 -22 -1 -23 -1 -23 0 -23 0 -23 0 -23 1 -22 1 -22 2 -21 3 -22 5 -22 5 -21 7 -21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -10 1 -10 2 -10 3 -11 4 -12 4 -12 6 -12 6 -12 7 -12 8 -12 8 -12 8 -12 8 -12 8 -12 7 -12 6 -13 6 -13 6 -14 5 -14 4 -15 4 -16 4 -17 4 -18 4 -19 4 -20 4 -21]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1721762848393,0,0,0,0,1721762848393,124,[-17 -11 -18 -11 -17 -10 -18 -10 -18 -9 -19 -9 -19 -8 -19 -8 -19 -8 -20 -7 -21 -7 -21 -7 -22 -8 -21 -8 -22 -8 -21 -8 -21 -8 -20 -8 -20 -9 -20 -9 -20 -9 -18 -10 -18 -11 -18 -12 -17 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -6 -8 -7 -8 -7 -9 -8 -9 -8 -9 -10 -9 -10 -9 -11 -8 -12 -8 -12 -8 -13 -7 -12 -8 -12 -8 -12 -8 -11 -9 -11 -10 -11 -10 -10 -11 -10 -12 -10 -13 -10 -14 -10 -15 -10 -16 -10 -17 -11 -17 -11]
