type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,local_time,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924045,0,0,0,0,1722105924045,124,[-12 -19 -13 -19 -13 -19 -14 -19 -14 -18 -15 -19 -15 -18 -16 -18 -16 -19 -17 -19 -17 -19 -17 -19 -17 -20 -17 -20 -17 -21 -15 -21 -14 -21 -13 -21 -12 -20 -11 -20 -9 -20 -8 -19 -8 -19 -7 -18 -6 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -11 -1 -11 -1 -11 -1 -11 0 -11 0 -12 0 -12 -1 -12 0 -12 -1 -12 -2 -13 -3 -13 -3 -13 -4 -13 -5 -14 -5 -15 -6 -15 -7 -15 -7 -16 -8 -16 -9 -17 -9 -18 -10 -18 -11 -19 -11 -19 -11 -19]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924065,0,0,0,0,1722105924065,124,[19 -1 20 -1 19 -2 20 -3 20 -3 20 -4 20 -4 20 -5 20 -5 21 -5 21 -5 21 -5 22 -5 21 -5 22 -4 22 -3 22 -2 21 -1 20 -1 19 0 18 1 18 2 17 2 16 3 15 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 3 8 4 8 4 8 4 8 4 8 4 8 4 8 4 9 4 9 4 9 3 13 10 3 11 3 11 2 12 2 12 2 13 2 14 1 15 1 15 1 16 0 17 0 17 1 18 0 19 -1 19]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924101,0,0,0,0,1722105924101,124,[-11 18 -11 20 -10 19 -10 20 -9 21 -9 21 -9 21 -8 22 -8 22 -8 23 -9 22 -9 23 -9 23 -9 23 -10 24 -11 22 -12 22 -12 21 -12 19 -12 18 -13 16 -13 15 -13 15 -13 14 -14 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 5 -9 5 -9 4 -10 5 -10 5 -10 5 -11 5 -10 5 -10 5 -10 6 -11 7 -10 7 -10 8 -10 9 -10 13 10 -10 11 -11 11 -10 12 -11 13 -11 14 -11 15 -11 15 -11 16 -12 17 -12 18 -12]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924112,0,0,0,0,1722105924112,124,[-11 -20 -12 -20 -12 -19 -13 -20 -14 -19 -14 -19 -14 -19 -15 -19 -15 -19 -16 -20 -16 -19 -16 -19 -16 -20 -16 -20 -16 -21 -15 -21 -14 -22 -12 -22 -11 -21 -10 -21 -9 -20 -8 -19 -7 -19 -6 -19 -5 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -11 0 -11 0 -11 0 -11 0 -11 0 -12 0 -12 0 -12 0 -12 -1 -12 -1 -13 -2 -13 -3 -13 -3 -14 -3 -14 -4 -15 -5 -15 -6 -16 -7 -16 -7 -17 -8 -18 -8 -18 -9 -18 -9 -19 -10 -19 -11 -20]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924125,0,0,0,0,1722105924125,124,[3 21 4 22 5 21 5 21 5 22 6 21 6 22 6 22 7 22 8 23 8 22 8 22 8 23 7 23 7 25 5 24 4 24 3 23 2 22 1 22 0 20 0 19 -1 19 -1 18 -3 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 9 -3 13 10 -4 9 -4 13 10 -4 13 10 -4 13 10 -5 13 10 -5 13 10 -4 13 10 -4 13 10 -3 11 -2 12 -2 12 -2 13 -1 14 -1 14 0 15 0 16 1 17 1 17 1 18 2 19]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924152,0,0,0,0,1722105924152,124,[22 12 23 12 23 13 10 24 13 10 24 13 10 25 9 25 9 26 9 26 8 27 8 27 8 26 9 28 9 27 13 10 28 13 10 26 12 26 13 24 13 23 13 22 13 20 14 19 14 18 14 16 14 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 9 6 13 10 6 13 10 6 13 10 6 13 10 6 11 6 11 6 11 6 11 7 11 8 11 9 11 13 10 11 11 11 12 11 12 11 13 11 14 11 16 12 17 11 18 12]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924165,0,0,0,0,1722105924165,124,[-2 25 -1 26 0 25 0 26 1 26 1 27 2 27 3 27 3 27 4 28 3 28 3 28 3 29 3 29 3 29 1 29 0 29 -1 28 -2 26 -3 26 -4 24 -5 23 -5 22 -5 21 -6 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 9 -7 9 -8 9 -8 13 10 -8 9 -9 13 10 -9 11 -8 13 10 -8 11 -8 11 -7 12 -7 13 -7 13 -6 14 -6 15 -6 16 -5 17 -5 18 -4 20 -4 20 -4 21 -4 22 -4 22 -4 24 -3]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924198,0,0,0,0,1722105924198,124,[21 5 21 4 21 4 22 4 22 3 22 2 23 2 23 1 23 1 24 1 24 1 23 1 24 2 25 2 25 2 25 4 24 4 23 5 22 5 20 6 19 6 18 7 18 7 16 8 16 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 6 7 7 7 7 7 7 7 7 8 7 8 7 8 7 8 8 7 9 8 9 7 13 10 7 11 7 12 7 12 6 13 6 14 6 15 6 16 6 17 6 18 6 18 6 19 6 20 6 21]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924209,0,0,0,0,1722105924209,124,[24 -8 25 -9 23 -9 24 -11 24 -11 24 -12 24 -13 24 -13 24 -14 25 -14 25 -14 25 -14 26 -14 25 -14 28 -14 26 -12 27 -11 26 -10 25 -8 25 -7 24 -6 22 -5 22 -4 21 -3 21 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 10 2 11 3 11 2 12 2 12 3 12 3 12 3 12 3 12 3 12 2 13 1 14 1 14 0 15 0 16 -1 16 -2 18 -2 18 -3 20 -4 20 -4 21 -5 22 -5 21 -6 23 -6 24 -7 24]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1722105924224,0,0,0,0,1722105924224,124,[11 -19 11 -20 13 10 -20 13 10 -21 13 10 -21 9 -22 9 -21 9 -22 8 -22 8 -24 9 -23 9 -24 9 -24 13 10 -23 13 10 -24 11 -22 12 -22 12 -21 12 -19 13 -18 13 -16 13 -15 13 -15 13 -14 13 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -6 8 -6 9 -5 9 -6 9 -5 9 -6 13 10 -5 13 10 -6 13 10 -6 9 -6 9 -8 9 -8 13 10 -9 13 10 -9 9 -10 13 10 -12 13 10 -12 13 10 -13 13 10 -14]
