type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,8521156,0,157,0,0,8.91163,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -26 -2 -27 -2 -28 -6 -24 -5 -25 -6 -24 -6 -23 -8 -24 -8 -23 -9 -21 -9 -23 -9 -22 -11 -21 -9 -21 -9 -20 -6 -20 -8 -21 -10 -20 -8 -18 -9 -19 -8 -16 -7 -18 -6 -17 -6 -18 -7 -18 -7 -17 -4 0 0 -18 -6 -18 -4 -16 -5 -16 -3 -17 -3 -15 -3 -17 -4 -15 -2 -15 -2 -18 0 -16 0 -15 1 -17 1 -14 0 -16 1 -15 0 -16 0 -14 1 -16 1 -12 4 -14 2 -13 4 -13 4 -13 5 -14 4 -12 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,8576245,0,135,0,0,8.96635,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -18 -21 -18 -21 -17 -22 -17 -23 -16 -20 -17 -24 -12 -21 -12 -21 -14 -22 -13 -20 -10 -19 -10 -20 -11 -21 -10 -21 -10 -20 -11 -19 -10 -20 -9 -17 -10 -18 -10 -18 -9 -18 -10 -17 -10 -16 -9 -18 -10 -16 -10 -16 0 0 -8 -15 -11 -14 -10 -14 -12 -14 -10 -13 -11 -13 -12 -12 -11 -11 -10 -12 -11 -11 -10 -11 -11 -11 -15 -10 -12 -10 -12 -9 -10 -10 -13 -8 -11 -9 -12 -8 -13 -9 -12 -6 -13 -8 -12 -8 -12 -6 -15 -6 -12 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,2,1,1,1,0,0,0,0,-95,0,6,1,8747811,0,390,0,0,9.13791,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -18 -28 -14 -29 -14 -26 -15 -31 -10 -29 -12 -31 -10 -25 -11 -25 -10 -26 -9 -27 -8 -25 -10 -25 -9 -25 -8 -25 -8 -25 -10 -22 -6 -23 -9 -20 -8 -21 -10 -19 -11 -20 -6 -20 -7 -17 -9 -18 -9 -17 -10 -18 0 0 -10 -14 -9 -15 -10 -12 -10 -12 -11 -14 -10 -12 -11 -15 -12 -12 -9 -12 -9 -12 -12 -10 -12 -8 -12 -9 -13 -7 -11 -9 -14 -7 -12 -7 -13 -5 -15 -7 -13 -3 -13 -5 -12 -4 -13 -4 -15 -4 -10 -3 -12 -2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-70,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,8803593,0,390,0,0,9.19391,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -10 28 -11 29 -12 28 -13 30 -14 26 -14 26 -14 24 -14 21 -14 24 -13 21 -16 22 -14 23 -15 21 -14 20 -14 19 -14 21 -12 20 -11 18 -12 16 -11 18 -12 17 -11 17 -9 16 -10 18 -11 17 -9 16 0 0 -8 17 -8 16 -9 18 -7 17 -6 16 -6 15 -5 15 -6 14 -4 15 -6 12 -5 14 -3 12 -3 14 -2 14 -3 13 -3 15 -2 14 -1 13 0 12 -1 13 -1 13 0 12 0 12 1 13 2 11 3 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,8856702,0,82,0,0,9.24653,384,[82 -96 4 0 0 0 0 0 0 0 0 0 23 -24 25 -22 23 -20 25 -19 23 -20 25 -18 21 -16 24 -16 22 -17 22 -14 22 -17 20 -14 19 -14 22 -14 20 -14 21 -13 20 -13 18 -13 19 -15 16 -11 16 -12 15 -13 14 -12 13 -13 17 -13 15 -12 0 0 15 -13 11 -12 14 -13 11 -12 11 -13 12 -13 11 -12 9 -11 8 -13 9 -12 8 -14 7 -13 8 -12 6 -12 5 -12 7 -13 3 -15 6 -15 4 -13 2 -12 1 -13 0 -13 2 -12 -1 -13 0 -10 -1 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,9246122,0,82,0,0,9.63601,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -24 -5 -28 -5 -24 -6 -27 -9 -24 -8 -26 -10 -22 -11 -24 -11 -20 -8 -21 -10 -21 -9 -21 -12 -20 -11 -20 -10 -20 -11 -19 -11 -19 -9 -16 -8 -19 -9 -17 -9 -18 -10 -17 -10 -15 -8 -17 -8 -18 -8 -16 -7 0 0 -15 -6 -15 -7 -18 -7 -15 -7 -15 -6 -16 -4 -16 -3 -16 -4 -15 -4 -13 -3 -16 -2 -14 -1 -15 -1 -16 0 -13 -2 -15 -1 -14 0 -13 0 -13 -1 -14 2 -12 3 -14 1 -13 2 -13 4 -11 2 -14 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-71,11,0,0,0,0,0,0,0,0,0,-95,0,6,1,9249698,0,82,0,0,9.67188,128,[82 -96 4 0 0 0 0 0 0 0 0 0 23 15 22 17 21 16 23 18 20 17 18 18 18 17 17 17 16 17 15 17 16 18 17 18 14 17 15 17 14 15 15 17 14 16 14 12 13 13 12 14 11 13 13 13 11 11 13 14 16 13 12 13 0 0 14 10 13 11 15 11 15 9 14 8 13 9 13 8 13 8 13 6 11 7 13 7 13 5 14 4 13 5 13 5 14 5 14 4 14 3 14 3 14 1 12 2 13 0 13 1 14 0 13 0 13 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,9250142,0,82,0,0,9.70986,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -27 -8 -24 -9 -26 -9 -25 -12 -24 -13 -25 -12 -22 -10 -21 -13 -21 -15 -20 -13 -19 -12 -19 -13 -21 -13 -19 -15 -16 -11 -18 -14 -16 -12 -17 -11 -18 -11 -18 -12 -16 -11 -17 -12 -15 -10 -16 -9 -19 -9 -15 -8 0 0 -16 -7 -14 -9 -18 -9 -15 -6 -16 -4 -15 -5 -15 -5 -15 -4 -14 -4 -16 -3 -16 -2 -16 -3 -16 -1 -14 0 -13 -3 -14 1 -13 -1 -11 1 -13 0 -14 1 -14 2 -14 1 -15 3 -14 3 -12 4 -11 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-78,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,9748772,0,82,0,0,10.1386,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -7 25 -9 24 -9 24 -8 25 -11 24 -13 25 -11 20 -12 23 -13 20 -11 19 -12 19 -11 18 -11 20 -12 18 -11 16 -12 17 -12 15 -14 15 -11 15 -12 15 -9 15 -11 15 -10 14 -9 14 -11 16 -9 16 0 0 -9 14 -7 15 -7 14 -8 13 -6 12 -6 16 -5 12 -4 14 -6 13 -4 14 -2 12 -4 12 -3 13 -4 13 -1 12 -1 13 -1 13 0 12 2 10 1 11 1 12 1 10 4 11 4 12 4 12 5 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-78,11,1,4,1,1,1,0,0,0,0,-95,0,6,1,10254036,0,82,0,0,10.644,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 23 -15 22 -16 20 -17 21 -17 20 -19 18 -16 16 -17 15 -19 16 -19 16 -17 12 -20 13 -19 13 -17 11 -17 12 -15 12 -15 11 -14 9 -18 10 -14 11 -15 10 -15 10 -13 8 -13 12 -16 9 -14 12 0 0 -12 8 -13 11 -11 10 -11 13 -10 11 -10 10 -10 11 -10 10 -9 11 -9 11 -8 11 -9 11 -8 11 -7 11 -7 10 -7 10 -5 13 -5 12 -3 10 -3 10 -3 12 -3 12 -2 13 -2 13 -2 11 -1 10 0 0 0 0 0 0 0 0 0 0 ]
