type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-74,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,585565,0,37,0,0,0.975492,128,[37 80 2 0 0 0 0 0 0 0 0 0 26 15 25 16 26 15 26 19 22 18 19 16 18 20 18 20 18 18 19 17 17 18 15 20 16 18 15 17 14 14 15 19 13 17 14 15 12 16 13 16 10 13 10 15 11 11 12 15 14 14 11 13 0 0 14 13 12 16 14 13 14 11 13 11 14 13 13 9 14 9 15 10 14 10 16 9 15 8 17 8 13 6 16 6 15 7 16 6 17 4 16 4 17 2 17 2 17 2 16 2 19 0 19 0 20 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,4016360,0,157,0,0,4.40617,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -13 12 -14 11 -16 11 -19 9 -19 8 -19 7 -17 9 -19 7 -18 5 -19 6 -21 7 -17 6 -20 6 -20 4 -19 5 -18 4 -18 3 -18 5 -20 6 -17 3 -17 5 -17 4 -16 5 -16 5 -16 4 -14 4 0 0 -14 7 -13 6 -17 5 -13 4 -13 6 -15 9 -13 11 -11 9 -12 9 -11 7 -11 11 -10 10 -11 9 -9 11 -10 9 -7 12 -8 11 -8 12 -6 12 -8 13 -8 13 -5 14 -6 14 -4 13 -5 14 -4 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-75,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,4062586,0,135,0,0,4.45218,384,[-121 112 8 0 0 0 0 0 0 0 0 0 -3 13 -5 15 -3 14 -5 15 -7 14 -7 13 -8 15 -9 13 -9 12 -9 13 -11 11 -11 13 -11 13 -11 13 -12 12 -12 9 -13 10 -11 10 -11 11 -11 9 -11 9 -12 9 -12 8 -12 10 -11 9 -11 8 0 0 -12 9 -11 11 -11 10 -10 10 -11 9 -11 9 -11 11 -9 10 -9 11 -8 11 -8 12 -9 12 -10 12 -8 12 -9 11 -8 12 -7 13 -6 13 -6 13 -6 15 -6 15 -6 14 -6 14 -5 15 -5 14 -5 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,4241114,0,390,0,0,4.63062,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 -17 -1 -17 -2 -18 -2 -16 -5 -17 -4 -16 -6 -14 -6 -14 -7 -14 -8 -14 -8 -14 -9 -14 -10 -15 -11 -14 -10 -14 -11 -14 -11 -13 -10 -11 -11 -12 -11 -11 -10 -11 -12 -12 -10 -12 -12 -13 -11 -13 -9 -12 -10 0 0 -12 -9 -13 -9 -11 -10 -12 -8 -13 -9 -12 -10 -12 -9 -12 -8 -13 -7 -14 -5 -12 -7 -11 -5 -12 -4 -15 -4 -15 -5 -15 -4 -15 -4 -17 -3 -15 -3 -15 -1 -15 -1 -19 -3 -16 -1 -18 1 -17 -1 -16 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,4293720,0,390,0,0,4.68351,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -24 -1 -23 -3 -23 -2 -26 -4 -25 -6 -22 -7 -22 -7 -20 -11 -20 -12 -21 -11 -22 -13 -21 -14 -20 -14 -20 -13 -18 -12 -20 -15 -19 -14 -19 -13 -16 -14 -17 -13 -16 -14 -15 -14 -16 -14 -17 -15 -18 -14 -17 -17 0 0 -17 -13 -19 -15 -19 -14 -20 -11 -18 -11 -20 -11 -21 -11 -19 -10 -21 -8 -19 -9 -22 -10 -20 -7 -22 -6 -21 -7 -21 -7 -24 -7 -25 -5 -24 -5 -23 -4 -23 -2 -24 -2 -25 -1 -24 0 -27 1 -26 1 -27 1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-75,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,6239335,0,390,0,0,6.62884,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 7 -21 7 -17 8 -18 10 -18 11 -16 10 -17 11 -17 11 -15 12 -15 15 -14 15 -16 14 -13 13 -15 15 -13 14 -13 15 -12 15 -13 14 -11 17 -14 14 -10 16 -11 14 -10 13 -12 13 -12 15 -11 15 -11 0 0 14 -11 13 -11 14 -12 12 -11 10 -11 12 -12 11 -11 11 -13 10 -11 10 -12 10 -15 7 -15 9 -13 7 -15 6 -14 8 -14 7 -13 8 -15 7 -16 4 -15 6 -17 5 -16 3 -16 4 -16 3 -16 2 -17 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,10238460,0,390,0,0,10.628,384,[-122 -31 23 0 0 0 0 0 0 0 0 0 9 12 7 12 8 14 7 15 7 14 6 14 5 14 4 14 4 15 3 14 4 15 3 14 4 15 4 15 4 14 1 14 4 13 1 13 2 13 3 13 2 13 2 14 1 13 3 13 3 13 2 13 0 0 4 12 3 12 4 12 4 11 5 12 5 11 5 10 5 10 4 10 7 10 7 9 8 9 8 9 8 9 9 10 8 10 9 8 10 7 8 6 10 6 11 6 10 5 10 5 12 5 12 6 12 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,10281106,0,82,0,0,10.6704,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -18 -1 -20 -3 -19 -4 -21 -5 -22 -4 -24 -5 -21 -6 -20 -7 -18 -4 -16 -8 -20 -7 -18 -10 -18 -6 -18 -9 -18 -9 -15 -11 -19 -11 -16 -10 -18 -8 -17 -9 -16 -8 -14 -10 -13 -8 -14 -7 -17 -9 -16 -8 0 0 -15 -6 -17 -9 -16 -7 -15 -5 -14 -5 -15 -6 -14 -6 -14 -5 -15 -4 -16 -2 -16 -2 -14 -3 -16 -1 -16 0 -15 -1 -16 -1 -16 -2 -14 1 -17 2 -15 2 -16 1 -18 4 -16 4 -15 5 -13 6 -16 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,10738252,0,82,0,0,11.1276,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -10 9 -11 9 -13 11 -16 9 -13 6 -13 6 -13 6 -15 5 -15 4 -16 3 -15 2 -17 3 -16 4 -17 3 -16 2 -16 2 -17 2 -15 2 -16 1 -15 1 -15 0 -15 1 -13 1 -15 1 -15 0 -15 2 0 0 -14 1 -14 1 -14 2 -12 2 -15 1 -13 2 -15 3 -13 4 -13 4 -12 6 -13 6 -14 4 -14 4 -13 6 -11 6 -12 8 -12 6 -11 8 -10 8 -11 9 -11 8 -11 10 -12 10 -10 11 -9 11 -9 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,10742266,0,82,0,0,11.1593,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -11 -9 -11 -10 -12 -11 -11 -12 -9 -14 -11 -12 -8 -12 -9 -13 -9 -13 -9 -12 -7 -15 -8 -15 -7 -15 -4 -16 -6 -15 -6 -14 -5 -16 -4 -14 -6 -16 -6 -15 -5 -14 -4 -16 -5 -14 -3 -14 -5 -14 -3 -15 0 0 -6 -13 -4 -12 -7 -13 -6 -13 -6 -12 -8 -13 -6 -13 -6 -12 -7 -12 -8 -13 -8 -12 -9 -10 -9 -11 -8 -9 -9 -11 -9 -11 -10 -11 -10 -9 -11 -10 -12 -10 -11 -9 -12 -10 -12 -10 -13 -9 -15 -8 -14 -7 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-75,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,10748665,0,82,0,0,11.2045,384,[82 -96 4 0 0 0 0 0 0 0 0 0 9 11 5 12 6 12 4 12 6 12 4 13 5 16 2 14 2 16 2 15 2 16 2 15 1 16 0 15 0 16 0 16 0 15 -1 16 -2 15 -1 14 -1 14 -1 15 -1 14 -1 16 -1 15 1 14 0 0 -1 15 -1 13 0 14 0 14 -1 13 1 13 1 14 2 14 3 13 4 14 3 14 3 12 3 13 3 13 5 12 5 13 5 14 6 13 7 13 7 12 6 13 7 12 9 13 9 12 8 11 9 11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-75,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,11239597,0,82,0,0,11.6289,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 -19 -8 -18 -8 -22 -6 -22 -6 -21 -2 -21 -2 -21 -3 -22 -1 -20 -3 -22 -2 -23 -4 -22 -1 -23 -1 -21 -1 -22 0 -19 0 -22 0 -18 2 -19 2 -20 1 -19 1 -19 1 -19 0 -18 -1 -20 1 -18 0 0 0 -17 -2 -17 -1 -18 -2 -18 -2 -17 -2 -17 -2 -16 -5 -17 -5 -18 -5 -15 -4 -16 -6 -15 -6 -15 -5 -16 -5 -15 -8 -15 -8 -14 -9 -14 -9 -13 -11 -12 -9 -13 -9 -15 -11 -12 -12 -12 -11 -12 -11 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-78,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,11739784,0,82,0,0,12.1291,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -11 15 -9 13 -11 16 -11 16 -8 15 -8 17 -7 14 -8 17 -8 17 -6 17 -6 16 -3 17 -2 15 -4 18 -3 16 -2 14 -2 17 -2 15 -2 15 -1 17 -2 15 1 16 -3 18 -2 15 -2 14 -3 0 0 14 -2 14 -2 13 -1 15 -5 13 -3 15 -3 14 -3 14 -5 13 -4 14 -3 15 -7 12 -6 14 -3 14 -7 12 -8 13 -7 14 -6 14 -9 12 -7 11 -9 14 -9 10 -9 10 -10 10 -11 10 -11 13 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-77,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,11974849,0,82,0,0,12.3642,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -14 7 -17 9 -15 9 -18 7 -17 7 -21 6 -18 5 -19 3 -18 4 -19 3 -18 3 -18 1 -18 2 -19 -1 -18 0 -18 0 -19 -1 -17 -2 -20 -3 -20 -2 -17 -3 -18 0 -15 -2 -18 -3 -17 -2 -19 -2 0 0 -18 -3 -17 -1 -17 -3 -15 -3 -18 -3 -17 -1 -16 -2 -17 -1 -16 1 -17 1 -16 1 -15 0 -17 -1 -15 0 -16 2 -17 1 -17 5 -14 2 -18 5 -16 6 -17 5 -15 4 -16 5 -18 6 -17 7 -16 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,12022260,0,37,0,0,12.4117,128,[37 80 2 0 0 0 0 0 0 0 0 0 14 2 14 5 13 5 16 7 12 6 13 8 13 8 12 7 11 10 12 8 14 9 13 8 12 10 13 9 11 9 11 11 12 11 10 9 10 10 10 10 9 10 10 10 9 8 11 10 12 9 10 10 0 0 10 9 11 10 12 10 11 8 10 9 11 8 11 8 10 6 12 7 10 7 12 7 12 6 12 5 13 5 11 5 13 6 12 5 13 4 13 4 13 3 13 2 13 3 12 1 14 1 14 0 15 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-70,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,12056569,0,37,0,0,12.4459,128,[37 80 2 0 0 0 0 0 0 0 0 0 -2 -21 -1 -21 -1 -23 2 -25 2 -22 5 -22 5 -21 5 -21 5 -21 7 -20 7 -22 7 -22 8 -21 8 -22 9 -20 9 -20 9 -21 8 -19 9 -19 8 -19 9 -18 9 -19 8 -17 10 -18 10 -20 10 -19 0 0 9 -20 9 -19 8 -20 6 -20 6 -19 7 -19 7 -20 6 -19 5 -20 6 -18 6 -20 4 -19 4 -19 5 -18 5 -20 4 -21 3 -21 3 -20 2 -20 0 -21 2 -20 -1 -21 -1 -20 0 -22 -2 -21 -3 -20 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,12058772,0,84,0,0,12.4803,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -16 -2 -17 -5 -14 -4 -16 -4 -14 -8 -16 -6 -13 -6 -16 -7 -14 -8 -14 -9 -15 -8 -14 -8 -14 -9 -14 -8 -14 -8 -14 -10 -13 -8 -14 -8 -12 -9 -12 -7 -13 -7 -12 -9 -12 -8 -12 -7 -14 -9 -12 -10 0 0 -12 -8 -13 -7 -13 -7 -13 -6 -13 -7 -10 -6 -11 -8 -11 -4 -15 -6 -12 -4 -14 -4 -12 -5 -13 -4 -13 -2 -14 -3 -13 -2 -15 -1 -14 0 -13 -1 -14 -1 -14 0 -15 2 -14 2 -15 2 -14 3 -14 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,12061847,0,84,0,0,12.5244,384,[84 -64 4 0 0 0 0 0 0 0 0 0 7 14 7 15 6 17 4 17 3 19 5 17 3 17 0 14 2 15 3 17 1 17 -1 18 -1 16 0 17 -1 17 -1 19 -1 16 -2 16 -1 15 -2 16 -1 16 -2 17 -4 15 -3 16 -3 14 -3 16 0 0 -4 14 -2 15 -3 15 -1 16 -1 14 -1 16 -2 15 0 14 0 16 1 14 1 15 1 14 1 15 1 14 2 14 2 14 2 14 3 15 4 14 3 13 5 13 3 14 7 15 5 13 5 14 7 15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,12062151,0,84,0,0,12.5618,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -7 -18 -5 -18 -7 -18 -4 -18 -6 -18 -4 -18 0 -19 -1 -17 0 -18 1 -17 1 -19 1 -21 3 -19 4 -20 2 -17 5 -20 4 -19 4 -17 4 -20 5 -18 6 -18 4 -17 3 -16 4 -17 4 -19 3 -14 0 0 4 -17 4 -19 5 -16 3 -18 4 -17 4 -16 4 -15 4 -15 2 -16 3 -19 2 -17 1 -16 2 -16 0 -19 0 -16 -1 -15 0 -19 0 -18 0 -20 -3 -18 -2 -18 -2 -17 -1 -19 -3 -18 -5 -17 -6 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,12063317,0,84,0,0,12.6032,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -17 -8 -17 -7 -14 -11 -17 -13 -16 -13 -14 -13 -14 -12 -14 -15 -15 -14 -13 -15 -12 -14 -13 -16 -12 -14 -12 -15 -11 -17 -12 -16 -13 -17 -10 -13 -10 -18 -12 -17 -11 -16 -10 -16 -9 -16 -9 -13 -11 -16 -11 -15 0 0 -11 -14 -9 -14 -11 -14 -12 -14 -10 -14 -10 -12 -11 -14 -9 -14 -12 -15 -11 -12 -13 -12 -14 -12 -11 -11 -15 -11 -13 -9 -14 -10 -14 -9 -17 -11 -14 -8 -13 -8 -17 -8 -16 -8 -15 -9 -17 -8 -16 -9 -17 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-76,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,12065336,0,84,0,0,12.6509,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 -16 6 -15 8 -15 6 -17 7 -15 8 -17 10 -13 10 -15 12 -14 9 -14 11 -14 13 -12 13 -13 11 -12 14 -10 13 -12 12 -12 13 -12 10 -11 11 -11 12 -9 13 -9 13 -10 13 -11 12 -10 12 -10 0 0 13 -11 12 -11 11 -10 10 -11 11 -11 10 -11 11 -10 11 -11 9 -11 9 -13 10 -12 9 -13 9 -14 7 -13 9 -12 7 -13 7 -13 7 -14 8 -15 5 -17 6 -14 7 -13 7 -15 5 -15 4 -17 3 -16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:2D:7E:D4,-75,11,1,2,1,1,1,0,0,0,0,-96,0,6,1,12077868,0,84,0,0,12.6933,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -14 -13 -14 -13 -14 -14 -11 -15 -11 -16 -13 -14 -10 -16 -10 -16 -10 -15 -7 -15 -8 -17 -9 -19 -8 -16 -8 -17 -7 -17 -8 -16 -7 -19 -6 -16 -7 -18 -6 -16 -5 -17 -5 -19 -6 -17 -4 -18 -5 -18 -4 -17 0 0 -5 -17 -5 -15 -6 -16 -6 -15 -6 -15 -8 -17 -8 -15 -6 -16 -7 -14 -10 -15 -9 -14 -7 -14 -8 -14 -11 -14 -8 -13 -11 -14 -11 -13 -12 -13 -10 -10 -11 -12 -12 -12 -13 -11 -14 -11 -14 -11 -14 -10 -14 -11 0 0 0 0 0 0 0 0 0 0 ]
