type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:4F:00:39:FF:A8,-76,11,1,2,1,1,1,0,0,0,0,-98,0,6,1,638294,0,157,0,0,1.02712,384,[-99 -48 9 0 0 0 0 0 0 0 0 0 -3 -12 -5 -15 -3 -13 -1 -14 -3 -15 -1 -16 -3 -15 0 -16 -2 -18 -1 -16 0 -19 2 -17 1 -17 3 -17 3 -16 3 -18 3 -16 4 -14 3 -14 4 -13 4 -15 3 -15 4 -12 1 -12 1 -14 1 -13 0 0 0 -13 0 -11 -1 -13 -2 -11 -2 -11 -2 -12 -2 -13 -3 -14 -4 -12 -3 -13 -4 -14 -4 -11 -7 -14 -5 -13 -3 -13 -4 -13 -5 -11 -5 -11 -5 -10 -5 -13 -5 -13 -6 -11 -6 -10 -7 -9 -8 -10 -8 -10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-76,11,1,2,1,1,1,0,0,0,0,-98,0,6,1,690845,0,135,0,0,1.0793,384,[-121 112 8 0 0 0 0 0 0 0 0 0 2 -15 1 -16 1 -17 -1 -20 1 -20 3 -19 2 -19 3 -19 4 -18 5 -20 4 -18 7 -19 5 -19 10 -19 7 -19 8 -18 7 -16 8 -15 8 -14 7 -14 9 -14 9 -17 6 -11 8 -14 7 -12 7 -14 0 0 5 -11 3 -12 2 -12 1 -11 3 -12 2 -12 3 -13 1 -9 -1 -9 1 -10 -3 -12 -4 -11 -4 -12 -2 -13 -3 -11 -2 -12 -4 -12 -4 -13 -3 -10 -5 -9 -4 -12 -5 -9 -4 -8 -9 -9 -7 -10 -8 -8 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-77,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,872259,0,390,0,0,1.26127,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 22 24 21 22 26 20 25 22 22 21 22 23 25 24 19 21 25 20 19 18 23 25 25 26 17 25 22 23 19 21 19 25 16 25 14 20 13 20 12 22 12 17 12 17 9 17 10 20 12 17 10 16 0 0 10 12 8 13 9 9 9 8 8 5 7 7 10 2 9 3 8 -1 6 3 11 0 10 -2 12 -2 11 -2 8 0 12 -1 16 -2 11 -3 13 -1 8 -2 10 0 8 -4 10 0 6 -2 5 -4 5 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-76,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,917784,0,390,0,0,1.30644,128,[-122 -31 23 0 0 0 0 0 0 0 0 0 -20 -21 -24 -22 -24 -22 -24 -26 -20 -21 -20 -19 -18 -23 -18 -21 -20 -21 -20 -21 -21 -25 -22 -22 -22 -26 -21 -25 -18 -22 -19 -26 -16 -24 -15 -20 -14 -20 -15 -21 -13 -19 -11 -21 -10 -15 -12 -17 -14 -14 -10 -16 0 0 -11 -10 -11 -11 -11 -8 -13 -6 -13 -6 -13 -5 -13 -1 -10 -3 -10 -1 -11 -2 -11 -1 -10 -2 -13 3 -16 2 -14 4 -16 4 -15 4 -16 4 -15 1 -12 3 -13 3 -11 1 -9 0 -11 0 -7 4 -7 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-79,11,1,2,1,1,1,0,0,0,0,-98,0,6,1,974772,0,82,0,0,1.36291,384,[82 -96 4 0 0 0 0 0 0 0 0 0 10 15 15 16 12 14 12 14 9 18 10 14 9 17 10 14 10 16 7 17 9 17 8 19 7 17 4 16 7 17 7 17 8 16 2 17 3 18 7 14 3 13 3 13 1 13 4 12 3 12 4 11 0 0 5 10 6 8 4 10 5 8 7 7 5 5 6 5 7 5 9 1 4 3 7 1 6 3 8 3 9 1 9 3 10 2 9 2 10 0 10 0 11 1 10 4 10 1 8 2 8 1 7 1 8 -1 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-77,11,1,2,1,1,1,0,0,0,0,-97,0,6,1,1373241,0,82,0,0,1.76147,384,[82 -96 4 0 0 0 0 0 0 0 0 0 3 -7 3 -9 3 -7 4 -8 4 -9 5 -9 4 -9 7 -8 7 -8 7 -8 8 -8 6 -9 6 -10 7 -10 7 -10 8 -9 9 -10 7 -8 8 -8 7 -7 7 -8 8 -7 7 -6 5 -6 7 -7 5 -6 0 0 5 -6 6 -5 4 -7 2 -8 3 -7 2 -9 -1 -10 1 -11 2 -9 1 -10 1 -12 1 -12 0 -12 0 -13 0 -14 1 -12 1 -13 1 -15 0 -14 0 -15 1 -14 1 -14 1 -14 0 -15 0 -17 0 -15 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-73,11,0,0,0,0,0,0,0,0,0,-97,0,6,1,1375142,0,82,0,0,1.79031,128,[82 -96 4 0 0 0 0 0 0 0 0 0 15 -7 13 -7 14 -9 18 -8 17 -8 17 -6 19 -6 18 -4 17 -9 17 -5 21 -5 21 -6 21 -3 22 -5 20 -6 23 -7 23 -5 21 -6 21 -2 20 0 20 -4 20 0 18 0 18 2 18 -3 16 0 0 0 14 -4 13 -4 16 -7 14 -8 12 -9 12 -11 14 -10 13 -11 12 -14 12 -13 15 -17 12 -15 13 -16 18 -17 17 -20 19 -20 19 -20 20 -19 19 -18 18 -22 20 -19 19 -20 20 -19 23 -21 21 -20 20 -21 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-78,11,1,2,1,1,1,0,0,0,0,-97,0,6,1,1378791,0,82,0,0,1.83166,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -8 1 -9 -2 -9 0 -8 -1 -10 -2 -11 -1 -10 -1 -11 -1 -9 -1 -11 -1 -11 -2 -12 -2 -11 -2 -11 -2 -11 -2 -11 -3 -12 -3 -11 -3 -11 -3 -10 -5 -10 -3 -9 -4 -8 -3 -8 -4 -9 -4 -10 -3 0 0 -7 -2 -8 -1 -7 -1 -7 0 -9 1 -8 2 -8 3 -8 3 -10 2 -11 5 -10 4 -11 4 -11 4 -12 6 -13 5 -12 6 -13 4 -13 7 -14 5 -14 6 -14 5 -14 6 -14 6 -15 5 -15 5 -16 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-80,11,1,4,1,1,1,0,0,0,0,-97,0,6,1,1869560,0,82,0,0,2.25782,384,[82 -96 4 0 0 0 0 0 0 0 0 0 1 -4 -1 -4 0 -2 -2 -4 -1 -4 -3 -2 -5 -1 -3 -2 -4 0 -3 -2 -5 -1 -6 1 -5 1 -8 4 -9 -1 -7 1 -9 0 -8 -1 -9 -2 -9 0 -11 1 -9 1 -11 0 -11 2 -9 2 -8 2 0 0 -9 5 -9 4 -10 5 -10 4 -12 6 -13 6 -13 5 -11 7 -14 5 -13 6 -15 7 -16 7 -18 8 -16 5 -17 8 -17 8 -19 6 -19 8 -17 7 -20 7 -19 9 -18 7 -18 4 -18 7 -17 6 -17 6 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:4F:00:39:FF:A8,-81,11,1,2,1,1,1,0,0,0,0,-97,0,6,1,2371709,0,82,0,0,2.75998,384,[82 -96 4 0 0 0 0 0 0 0 0 0 -1 -4 0 -5 -1 -1 -2 -1 -2 -1 -2 -1 -2 -1 -2 0 -1 1 -1 2 -2 1 -2 2 -2 3 -1 4 -2 3 -4 4 -2 5 -3 4 -3 5 -4 5 -4 7 -4 5 -3 3 -3 6 -4 5 -2 5 0 0 -1 7 1 7 0 8 2 7 1 10 2 9 0 11 1 10 3 11 1 12 2 13 1 15 1 14 1 14 3 17 2 16 1 19 2 17 1 14 3 15 2 15 0 16 2 16 2 16 1 16 1 16 0 0 0 0 0 0 0 0 0 0 ]
