type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,local_time,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072580,0,0,0,0,1726019072580,124,[-9 20 -9 21 -8 20 -8 19 -7 19 -6 18 -5 18 -4 17 -3 17 -2 17 -2 17 -1 16 -1 16 0 17 0 17 0 16 0 16 0 16 -1 15 -1 14 -2 13 -2 13 -3 12 -4 12 -5 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 17 -3 18 -5 18 -6 18 -7 18 -9 19 -10 19 -11 18 -12 17 -13 17 -13 17 -12 17 -12 16 -12 16 -12 16 -12 17 -12 17 -11 17 -11 18 -11 19 -10 19 -10 20 -10 20 -9 21 -10 22 -9 22]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072604,0,0,0,0,1726019072604,124,[19 11 20 11 18 13 10 19 9 18 8 17 7 17 6 16 5 16 4 16 3 16 2 16 1 16 2 15 1 16 1 16 1 16 1 15 1 14 1 14 2 13 2 13 3 13 4 11 4 13 10 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 4 17 6 17 7 17 8 17 9 17 11 16 13 16 13 15 14 15 14 15 15 14 14 15 14 14 14 14 14 14 13 15 13 15 13 17 13 17 12 18 12 18 11 19 11 20 12 20 11]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072627,0,0,0,0,1726019072627,124,[13 -15 13 -16 11 -15 12 -15 11 -14 13 10 -14 9 -14 8 -14 7 -14 5 -15 5 -15 5 -15 4 -15 4 -14 3 -15 4 -14 4 -15 4 -14 4 -13 4 -13 5 -12 5 -11 5 -11 5 -10 6 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -15 8 -15 9 -14 11 -15 11 -14 14 -14 14 -13 15 -12 15 -11 15 -11 15 -11 15 -11 15 -10 14 -10 15 -11 14 -11 14 -12 14 -12 15 -13 14 -12 14 -14 14 -14 13 -14 14 -16 13 -16 13]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072675,0,0,0,0,1726019072675,124,[0 -23 0 -24 0 -23 0 -22 -1 -21 -2 -20 -2 -19 -3 -19 -4 -18 -5 -18 -5 -17 -6 -17 -7 -17 -7 -17 -8 -17 -7 -16 -7 -17 -6 -16 -6 -16 -5 -16 -5 -15 -4 -14 -3 -14 -1 -14 -1 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -19 -3 -21 -2 -20 0 -22 1 -21 3 -23 4 -23 6 -23 6 -22 7 -21 7 -22 7 -21 7 -21 6 -20 6 -21 6 -21 5 -22 5 -21 4 -23 3 -22 3 -23 3 -23 2 -23 1 -25 1 -24 1 -26]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072681,0,0,0,0,1726019072681,124,[-17 12 -16 12 -15 12 -15 11 -14 12 -13 11 -12 11 -11 11 -9 12 -9 12 -9 12 -8 13 -8 13 -7 13 -7 13 -7 13 -7 12 -7 12 -7 11 -7 11 -8 13 10 -8 9 -8 9 -8 8 -8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 13 -11 12 -13 12 -14 11 -15 11 -16 11 -17 9 -17 9 -18 8 -18 7 -18 8 -18 7 -17 7 -17 7 -17 7 -17 8 -16 8 -17 9 -17 9 -17 9 -17 11 -17 11 -16 11 -17 12 -17 13 -16]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072693,0,0,0,0,1726019072693,124,[7 21 7 21 7 20 7 19 7 18 7 17 8 16 7 15 9 14 13 10 13 13 10 12 11 12 11 12 11 12 11 12 11 11 11 12 13 10 12 9 12 9 11 8 11 8 11 7 11 5 11 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 10 15 8 16 7 17 7 18 6 19 5 21 3 21 2 21 0 21 1 21 1 21 1 21 1 20 1 20 1 20 1 20 1 21 2 20 3 20 3 21 4 21 5 21 5 21 7 22]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072704,0,0,0,0,1726019072704,124,[20 -3 20 -3 19 -3 18 -3 18 -4 17 -4 16 -5 15 -5 14 -6 14 -7 14 -7 13 -8 13 -8 13 -8 12 -8 13 -8 12 -7 12 -8 11 -7 11 -7 12 -6 12 -5 11 -4 13 10 -4 13 10 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -7 15 -6 17 -5 17 -4 18 -3 18 -1 19 0 19 0 19 2 19 2 19 3 18 2 18 2 18 2 17 2 18 2 18 1 18 1 18 0 19 -1 19 -1 19 -1 20 -2 21 -3 21 -3]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072726,0,0,0,0,1726019072726,124,[17 -16 17 -16 16 -15 15 -15 15 -15 13 -15 12 -14 11 -15 13 10 -15 9 -16 8 -16 8 -15 7 -16 6 -16 6 -17 7 -16 7 -16 6 -15 6 -14 7 -14 7 -13 8 -12 8 -11 8 -11 8 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 10 -16 12 -15 13 -15 15 -14 16 -13 17 -13 18 -12 19 -12 19 -10 19 -9 20 -9 19 -9 19 -9 19 -9 19 -9 18 -10 18 -11 17 -11 18 -12 18 -12 18 -13 18 -14 17 -14 18 -15 18 -15]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072739,0,0,0,0,1726019072739,124,[16 -19 16 -18 14 -18 14 -17 13 -17 12 -17 11 -17 9 -17 8 -17 7 -17 7 -17 6 -17 6 -17 5 -17 5 -18 5 -17 5 -17 5 -17 5 -16 5 -16 6 -14 7 -13 7 -13 7 -12 8 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -18 13 10 -17 11 -17 13 -17 14 -16 16 -16 17 -15 18 -15 19 -13 19 -12 19 -12 19 -12 19 -12 18 -12 18 -12 17 -13 17 -13 17 -14 17 -14 17 -15 17 -16 17 -16 16 -17 17 -18 17 -18 16]
,,,-80,0,0,0,0,0,0,0,0,0,0,-92,0,6,1726019072764,0,0,0,0,1726019072764,124,[12 16 12 16 11 15 11 15 11 13 11 13 11 12 11 11 11 13 10 12 9 12 9 12 8 12 7 12 7 13 8 13 7 12 7 12 7 11 7 11 8 13 10 7 9 7 9 8 7 8 6 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 9 12 11 12 11 11 13 13 10 14 13 10 16 8 17 8 17 7 18 6 18 6 18 6 17 6 17 6 16 6 17 7 16 7 17 7 16 8 17 9 16 13 10 16 13 10 16 13 10]
